Link_produk,Kilometer,Lokasi_mobil,tahun_jenis_mobil,Harga_mobil,Merek_mobil,Rating,jenis_mobil,platform
https://www.mobil123.com/dijual/hyundai-trajet-gls-jawa-timur-tarik/16002986,125 - 130K KM,Jawa Timur,2001 Hyundai Trajet 2.0 GLS MPV,39000000.0,Toyota Hilux,5.0,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-hilux-g-dual-cab-jawa-timur-sidoarjo/15927967,90 - 95K KM,Jawa Timur,2020 Toyota Hilux 2.4 G Dual Cab Pick-up - Istimewa Siap P...,354000000.0,Toyota Fortuner,4.7,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-fortuner-g-jawa-timur-candi/15313943,295 - 300K KM,Jawa Timur,2009 Toyota Fortuner 2.5 G SUV - Manual Istimewa Siap Paka...,195000000.0,Daihatsu Ayla,4.8,manual,mobil123.com
https://www.mobil123.com/dijual/daihatsu-ayla-r-jawa-timur-surabaya/16022581,55 - 60K KM,Jawa Timur,2017 Daihatsu Ayla 1.2 R Hatchback - MANUAL HARGA TERMURAH...,110000000.0,Toyota Kijang,4.6,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-kijang-lgx-d-jawa-timur-sumbersoko/15811846,150 - 155K KM,Jawa Timur,2000 Toyota Kijang 2.4 LGX-D MPV - Mt Harga Nego Mobil Bek...,81500000.0,Honda Brio,4.7,manual,mobil123.com
https://www.mobil123.com/dijual/honda-brio-satya-e-jawa-timur-surabaya/16022577,50 - 55K KM,Jawa Timur,2020 Honda Brio 1.2 Satya E Hatchback - MANUAL WARNA FAVOR...,150000000.0,Toyota Kijang,4.9,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-kijang-lgx-d-jawa-timur-krian/15811712,400000 KM,Jawa Timur,2000 Toyota Kijang 2.4 LGX-D MPV - Diesel Mt Orisinil Mobi...,92000000.0,Nissan Grand Livina,4.7,manual,mobil123.com
https://www.mobil123.com/dijual/nissan-grand-livina-xv-jawa-timur-surabaya/16022570,135 - 140K KM,Jawa Timur,2013 Nissan Grand Livina 1.5 XV MPV - MANUAL DP 9 JT TERMU...,105000000.0,Toyota Kijang Innova,4.5,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-kijang-innova-g-jawa-timur-wonoayu/15992451,90 - 95K KM,Jawa Timur,"2013 Toyota Kijang Innova 2.0 G MPV - PMK 2014 BENSIN, MT ...",172000000.0,Toyota Yaris,4.7,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-yaris-gr-four-dki-jakarta-pondok-indah/15688330,0 - 5K KM,DKI Jakarta,2021 Toyota Yaris 1.6 GR-Four Hatchback - Manual Transmisi...,850000000.0,Toyota Rush,4.6,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-rush-s-banten-gading-serpong/16022525,106000 KM,Banten,"2008 Toyota Rush 1.5 S SUV - ( TDP 46jt ) 1,5 Hitam Kondis...",108000000.0,Daihatsu Ayla,4.5,manual,mobil123.com
https://www.mobil123.com/dijual/daihatsu-ayla-r-jawa-barat-depok/16022513,5 - 10K KM,Jawa Barat,2022 Daihatsu Ayla 1.2 R Hatchback - Angsuran Ringan,119000000.0,Daihatsu Xenia,4.6,manual,mobil123.com
https://www.mobil123.com/dijual/daihatsu-xenia-r-jawa-timur-surabaya/16007763,50 - 55K KM,Jawa Timur,2021 Daihatsu Xenia 1.3 R MPV - ISTIMEWA KREDIT DP 15 JUTA...,169000000.0,Toyota Avanza,4.3,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-avanza-veloz-jawa-barat-bandung/15978161,38000 KM,Jawa Barat,2021 Toyota Avanza 1.5 Veloz MPV - MULUSS,,Suzuki Escudo,4.5,manual,mobil123.com
https://www.mobil123.com/dijual/suzuki-escudo-jlx-jawa-barat-maja/15966094,195 - 200K KM,Jawa Barat,1994 Suzuki Escudo 1.6 JLX SUV - mobil badak,49999999.0,Daihatsu Xenia,5.0,manual,mobil123.com
https://www.mobil123.com/dijual/daihatsu-xenia-d-plus-jawa-barat-bogor/15948138,200 - 205K KM,Jawa Barat,2014 Daihatsu Xenia 1.0 D PLUS MPV,95000000.0,Honda BR-V,4.3,manual,mobil123.com
https://www.mobil123.com/dijual/honda-br-v-e-jawa-barat-bandung/15894098,57000 KM,Jawa Barat,2016 Honda BR-V 1.5 E SUV - Manual Siap Langsung Pakai,,Honda BR,4.6,manual,mobil123.com
https://www.mobil123.com/dijual/mini-morris-mk-4-jawa-timur-malang-kota/15866365,35 - 40K KM,Jawa Timur,1976 MINI Morris 1.0 MK 4 Classic Cars,360000000.0,Wuling Confero,4.3,manual,mobil123.com
